Location,State,Population (US Census, 2011),Ownership?,Type ,Open Data Policy?,Data Source Description,Link,Building permits
Boston GIS Data Hub,MA,609942,Government,US City,No,generic opendata portal,https://data.cityofboston.gov/,
Denver,CO,600024,Government,US City,No,generic opendata portal,http://data.denvergov.org,
Louisville,KY,592529,Government,US City,Yes,generic opendata portal,http://portal.louisvilleky.gov/service/data,
Portland,OR,583778,Government,US City,Yes,generic opendata portal,http://civicapps.org/datasets/,
Providence,RI,583778,Government,US City,Yes,generic opendata portal,https://data.providenceri.gov/,
Wyoming,WY,568158,Government,US State,No,generic opendata portal,http://www.wyoming.gov/transparency.html,
Albuquerque,NM,539000,Government,US City,No,generic opendata portal,http://www.cabq.gov/abq-data/,
Sacramento,CA,472178,Government,US City,Yes,generic opendata portal,http://portal.cityofsacramento.org/opendata,
Maine,ME,462257,Government,US State,No,generic opendata portal,http://www.maine.gov/data/,
Maine,ME,462257,Government,US State,No,generic opendata portal,http://opencheckbook.maine.gov/transparency,
Kansas City,MO,457551,Government,US City,No,generic opendata portal,https://data.kcmo.org/,
Lexington,KY,457551,Government,US City,Yes,generic opendata portal,http://data.lexingtonky.gov/,
Montgomery County,MD,455761,Government,US County,Yes,generic opendata portal,https://data.montgomerycountymd.gov/,
Virginia Beach,VA,447021,Public,US City,No,generic opendata portal,http://data.codeforhamptonroads.org/organization/city-of-virginia-beach,
Atlanta,GA,419250,Government,US City,No,generic opendata portal,http://gis.atlantaga.gov/,
Raleigh,NC,395091,Government,US City,Yes,generic opendata portal,https://data.raleighnc.gov,
Oakland,CA,389397,Government,US City,Yes,generic opendata portal,https://data.oaklandnet.com,
Oakland,CA,389397,Community,US City,Yes,generic opendata portal,http://data.openoakland.org/,
New Orleans,LA,321409,Government,US City,No,generic opendata portal,https://data.nola.gov,
Cincinnati,OH,296223,Community,US City,Yes,generic opendata portal,http://www.opendatacincy.org/,
Newark,NJ,277540,Goverment,US City,No,generic opendata portal,http://newarknj.patch.com/groups/politics-and-elections/p/city-of-newark-rolls-out-test-version-of-new-web-site,
Norfolk,VA,245782,Public,US City,No,generic opendata portal,http://data.codeforhamptonroads.org/organization/city-of-norfolk,
Madison,WI,236901,Government,US City,Yes,generic opendata portal,https://data.cityofmadison.com,
Reno,NV,233294,Government,US City,No,generic opendata portal,http://opendatareno.org/,
Scottsdale,AZ,221020,Government,US City,No,generic opendata portal,http://data.scottsdaleaz.gov/,
Richmond,VA,210309,Government,US City,No,generic opendata portal,ftp://ftp.ci.richmond.va.us/GIS/Shapefiles/,
Salt Lake City,UT,186443,Government,US City,No,generic opendata portal,https://data.slcgov.com,
Chattanooga,TN,170136,Government,US City,Yes,generic opendata portal,http://data.chattlibrary.org,
Chattanooga,TN,170136,Community,US City,Yes,generic opendata portal,https://chattanooga.demo.socrata.com/,
Rockford,IL,152222,Government,US City,No,generic opendata portal,https://data.illinois.gov/rockford,
Charleston,SC,125583,Government,US City,No,generic opendata portal,http://gis.charleston-sc.gov/dataportal/,
Gainesville,FL,125326,Government,US City,No,generic opendata portal,https://data.cityofgainesville.org/,
Hartford,CT,124893,Government,US City,Yes,generic opendata portal,https://data.hartford.gov/,
Ann Arbor,MI,114925,Government,US City,No,generic opendata portal,http://www.a2gov.org/data/,
Cambridge GIS,MA,105162,Government,US City,No,generic opendata portal,http://cambridgegis.github.io/gisdata.html,
South Bend,IN,101000,Government,US City,Yes,generic opendata portal,https://data.southbendin.gov/,
Asheville,NC,84458,Government,US City,No,generic opendata portal,http://opendatacatalog.ashevillenc.gov/,
Arvada,CO,83433,Government,US City,No,generic opendata portal,http://arvada.org/opendata/,
Glynn County,GA,79626,Government,US County,No,generic opendata portal,http://glynncounty.org/index.aspx?nid=1598,
Lynchburg,VA,77113,Government,US City,No,generic opendata portal,http://mapviewer.lynchburgva.gov/downloads/default.aspx,
Somerville,MA,76519,Government,US City,No,generic opendata portal,https://data.somervillema.gov,
Palo Alto,CA,64408,Government,US City,No,generic opendata portal,http://data.cityofpaloalto.org/,
Santa Cruz,CA,60342,Government,US City,No,generic opendata portal,http://data.cityofsantacruz.com,
Wellington,FL,57163,Government,US City,No,generic opendata portal,https://data.wellingtonfl.gov/,
Marietta,GA,56602,,US City GIS,No,generic opendata portal,http://www.arcgis.com/home/item.html?id=ed925a2f26704d6493b779b4fbd28753,
Charlottesville,VA,43956,Government,US City,No,generic opendata portal,http://www.charlottesville.org/Index.aspx?page=1674,
Bonner County,ID,40877,Government,US County,No,generic opendata portal,ftp://ftp.co.bonner.id.us/GISData/,
Champaign,IL,39795,Government,US City,No,generic opendata portal,https://data.illinois.gov/champaign,
Redmond,WA,26646,Government,US City,No,generic opendata portal,https://data.redmond.gov,
Weatherford,TX,25557,Government,US City,No,generic opendata portal,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,
Williamsburg,VA,15167,Government,US City,No,generic opendata portal,http://www.williamsburgva.gov/Index.aspx?page=793,
Tulsa,OK,14741,Government,US City,Yes,generic opendata portal,https://www.cityoftulsa.org/our-city/open-tulsa/open-tulsa-dataset-list.aspx,
Gilpin County,CO,5467,Regional,US County,No,generic opendata portal,http://data.opencolorado.org/group/gilpin-county,
Belleville,IL,3951,Government,US City,No,generic opendata portal,https://data.illinois.gov/belleville,
De Leon,TX,2233,Government,US City,No,generic opendata portal,https://deleon.socrata.com,
